Ecoregion Level 1,Geomorphological Zone,SASS Score Percentiles - A,SASS Score Percentiles - B,SASS Score Percentiles - C,SASS Score Percentiles - D,ASPT Percentiles - A,ASPT Percentiles - B,ASPT Percentiles - C,ASPT Percentiles - D
Bushveld Basin,Combined,123,102,81,65,5.7,5.1,4.8,4.5
Bushveld Basin,Upper,,,,,,,,
Bushveld Basin,Lower,,,,,,,,
Eastern Bankenveld,Combined,,,,,,,,
Eastern Bankenveld,Upper,204,175,147,122,7,6.5,6.2,5.9
Eastern Bankenveld,Lower,187,140,120,91,6.7,5.9,5.6,5.2
Eastern Coastal Belt,Lower,94,68,50,40,7.6,6.2,5.4,4.1
Eastern Escarpment Mountains,Combined,,,,,,,,
Eastern Escarpment Mountains,Upper,187,141,109,85,7,6.2,5.6,4.9
Eastern Escarpment Mountains,Lower,79,71,57,42,5.3,4.9,4.2,4
Ghaap Plateau,Upper,,,,,,,,
Great Karoo,Combined,,,,,,,,
Great Karoo,Upper,,,,,,,,
Great Karoo,Lower,,,,,,,,
Highveld,Combined,,,,,,,,
Highveld,Upper,240,189,154,120,6.8,6.3,5.9,5.3
Highveld,Lower,123,82,64,51,5.6,4.8,4.6,4.2
Lebombo Uplands,Upper,184,157,120,94,7,6.6,5.7,4.9
Limpopo Plain,Lower,143,115,94,72,5.8,5.4,5.1,4.6
Lowveld,Combined,,,,,,,,
Lowveld,Upper,187,153,131,111,7.2,6.4,6.1,5.6
Lowveld,Lower,174,142,120,93,6.7,6.1,5.7,5.1
Nama Karoo,Lower,118,100,76,33,6,5.5,5.3,4.7
Natal Coastal Plain,Lower,,,,,,,,
North Eastern Coastal Belt,Combined,,,,,,,,
North Eastern Coastal Belt,Upper,180,158,118,95,7.3,6.8,6.3,5.6
North Eastern Coastal Belt,Lower,142,109,86,56,7.2,6.5,5.8,5
North Eastern Highlands,Combined,,,,,,,,
North Eastern Highlands,Upper,210,176,145,115,6.8,6.5,6,5.6
North Eastern Highlands,Lower,165,141,106,64,6.5,5.9,5.2,4.8
North Eastern Uplands,Combined,,,,,,,,
North Eastern Uplands,Upper,213,181,156,133,7.2,6.6,6.3,5.9
North Eastern Uplands,Lower,116,106,85,71,8.5,6.1,5.4,4.8
Northern Escarpment Mountains,Combined,,,,,,,,
Northern Escarpment Mountains,Upper,215,185,163,134,7.2,6.7,6.4,6
Northern Escarpment Mountains,Lower,206,171,133,115,6.9,6.4,6.1,5.7
Orange River Gorge,Lower,115,88,59,38,5.8,5.5,4.9,4.8
South Eastern Coastal Belt,Upper,228,199,172,148,8.2,7.7,7.1,6.6
South Eastern Coastal Belt,Lower,149,100,82,63,7.1,6,5.4,5.1
South Eastern Uplands,Upper,201,174,156,125,7.3,6.7,6.3,5.9
South Eastern Uplands,Lower,172,138,111,86,7.5,6.7,6,5.3
South Western Coastal Belt,Upper,124,96,71,51,7.3,5.8,4.8,4.3
South Western Coastal Belt,Lower,76,57,44,32,5.1,4.5,4.2,3.8
Southern Coastal Belt,Upper,182,157,135,88,8.1,7.2,6.4,5.6
Southern Coastal Belt,Lower,127,84,54,36,6.3,5.6,4.8,4.2
Southern Folded Mountains,Upper,171,133,103,76,8.3,7.3,6.4,5.3
Southern Folded Mountains,Lower,103,71,53,41,5.8,4.8,4.5,4.2
Southern Kalahari,Lower,99,69,63,48,5.5,4.8,4.4,4.2
Soutpansberg,Combined,183,165,143,125,7.3,6.5,6.3,5.9
Soutpansberg,Upper,,,,,,,,
Soutpansberg,Lower,,,,,,,,
Waterberg,Combined,156,133,114,92,6.8,6.3,6.1,5.5
Waterberg,Upper,,,,,,,,
Waterberg,Lower,,,,,,,,
Western Bankenveld,Combined,243,151,115,87,6.4,5.9,5.4,4.5
Western Bankenveld,Upper,,,,,,,,
Western Bankenveld,Lower,,,,,,,,
Western Coastal Belt,Lower,111,78,65,48,5.6,5.2,4.9,4.5
Western Folded Mountains,Upper,182,127,98,65,7.9,6.9,6.1,5.1
Western Folded Mountains,Lower,129,88,71,52,6.5,5.5,5,4.6