Taxon rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Scientific name and authority,Common name,Origin,Endemism,Conservation status,Eco-tolerance,Former scientific name 
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,natalensis,Labeobarbus natalensis,"Labeobarbus natalensis Castelnau, 1861",Scaly Kwa-Zulu Natal yellowfish,Native,Regional endemic level 1,Least concern,1,Barbus aureus;Barbus bowkeri;Barbus dendrotrachelus;Barbus grouti;Barbus lobochilus;Barbus marleyi;Barbus mfongosi;Barbus natalensis;Barbus robinsoni;Barbus stigmaticus;Barbus tugelensis;Barbus zuluensis;Labeobarbus aureus
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,nelspruitensis,Labeobarbus nelspruitensis,"Labeobarbus nelspruitensis (Gilchrist & Thompson, 1911)",Incomati chiselmouth,Native,Regional endemic level 1,Near threatened,1,Varicorhinus nelspruitensis
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,polylepis,Labeobarbus polylepis,"Labeobarbus polylepis Boulenger, 1907",Bushveld smallscale yellowfish,Native,Regional endemic level 1,Least concern,1,Barbus elephantis;Barbus lineolatus;Barbus polylepis
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,seeberi,Labeobarbus seeberi,"Labeobarbus seeberi  (Gilchrist & Thompson, 1913)",Clanwilliam yellowfish,Native,Regional endemic level 1,Near threatened,1,Barbus seeberi;Labeobarbus capensis
Species,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Lacustricola,katangae,Lacustricola katangae,"Lacustricola katangae (Boulenger, 1912)",Striped topminnow,Native,Widespread,Least concern,2,Aplocheilichthys carlislei;Aplocheilichthys katangae;Aplocheilichthys luluae;Aplocheilus luluae;Haplochilichthys katangae;Haplochilus carlislei;Haplochilus katangae;Haplochilus luluae;Micropanchax katangae;Micropanchax luluae
Species,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Lacustricola,myaposae,Lacustricola myaposae,"Lacustricola myaposae (Boulenger, 1912)",Natal topminnow,Native,Regional endemic level 1,Near threatened,2,Aplocheilichthys myaposae;Haplochilichthys myaposae;Haplochilus myaposae;Micropanchax myaposae
Species,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,macrochirus,Lepomis macrochirus,"Lepomis macrochirus Rafinesque, 1819",Bluegill sunfish ,Non-native,Widespread,Least concern,1,Eupomotis macrochirus
Species,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Marcusenius,caudisquamatus,Marcusenius caudisquamatus,"Marcusenius caudisquamatus Maake, Gon & Swartz, 2014",,Native,Micro-endemic level 1,Endangered,1,
Species,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Marcusenius,krameri,Marcusenius krameri,"Marcusenius krameri Maake, Gon & Swartz, 2014",,Native,Widespread,Least concern,1,
Species,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Marcusenius,macrolepidotus,Marcusenius macrolepidotus,"Marcusenius macrolepidotus (Peters, 1852)",Bulldog,Non-native,Widespread,Least concern,1,Gnathonemus graeverti;Gnathonemus macrolepidotus;Gnathonemus macrolepidotus macrolepidotus;Gnathonemus moeruensis;Gnathonemus okavangensis;Gnathonemus rhodesianus;Hippopotamyrus macrolepidotus;Marcusenius graeverti;Marcusenius macrolepidotus macrolepidotus;Marcusenius moeruensis;Marcusenius rhodesianus;Mormyrops macrolepidotus;Mormyrus macrolepidotus
Species,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Marcusenius,pongolensis,Marcusenius pongolensis,"Marcusenius pongolensis (Fowler, 1934)",,Native,Widespread,Least concern,1,Gnathonemus pongolensis
Species,Animalia,Chordata,Actinopterygii,Synbranchiformes,Mastacembelidae,Mastacembelus,frenatus,Mastacembelus frenatus,"Mastacembelus frenatus (Boulenger, 1901)",Longtail spinyeel,Non-native,Widespread,Least concern,1,Caecomastacembelus frenatus;Aethiomastacembelus frenatus;Aethiomastacembelus moeruensis;Aethiomastacembelus stappersii;Afromastacembelus frenatus;Afromastacembelus moeruensis;Afromastacembelus stappersii;Athieomastacembelus frenatus;Caecomastacembelus frenatus;Caecomastacembelus stappersii;Mastacembalus mellandi;Mastacembalus moeruensis;Mastacembelus mellandi;Mastacembelus moeruensis;Mastacembelus mutombotombo;Mastacembelus stappersi;Mastacembelus taeniatus;Mastacembelus thompsoni;Mastacembelus victoriae
Species,Animalia,Chordata,Actinopterygii,Elopiformes,Megalopidae,Megalops,cyprinoides,Megalops cyprinoides,"Megalops cyprinoides (Broussonet, 1782)",Oxeye tarpon,Native,Widespread,Data deficient,3,Brisbania staigeri;Clupea cyprinoides;Clupea gigantea;Clupea thrissoides;Cyprinodon cundinga;Elops cundinga;Elops cyprinoides;Magalops cyprinoides;Megalops cundinga;Megalops curtifilis;Megalops cyoprinoides;Megalops filamentosus;Megalops giganteus;Megalops indicus;Megalops kundinga;Megalops macrophthalmus;Megalops macropterus;Megalops oligolepis;Megalops setipinnis
Species,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Micralestes,acutidens,Micralestes acutidens,"Micralestes acutidens  (Peters, 1852)",Silver robber,Native,Widespread,Least concern,1,Alestes acutidens;Brachyalestes acutidens;Micralestes acutidens neglectus;Micralestes brevianalis;Micralestes luluae;Micralestes neglectus;Petersius neglectus;Virilia brevianalis
Species,Animalia,Chordata,Actinopterygii,Perciformes,Anabantidae,Microctenopoma,intermedium,Microctenopoma intermedium,"Microctenopoma intermedium (Pellegrin, 1920)",Blackspot climbing perch,Native,Widespread,Least concern,1,Anabas intermedius;Ctenopoma intermedium
Species,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Micropanchax,johnstoni,Micropanchax johnstoni,"Micropanchax johnstoni Ghedotti, 2000",Johnston's topminnow,Native,Widespread,Least concern,2,Aplocheilichthys johnstoni;Aplocheilus johnstoni;Haplochilichthys johnstoni;Haplochilus johnstoni
Species,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,dolomieu,Micropterus dolomieu,"Micropterus dolomieu  Lacepède, 1802",Smallmouth bass,Non-native,Widespread,Least concern,1,Bodianus achigan;Centrarchus fasciatus;Cichla fasciata;Cichla minima 
Species,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,floridanus,Micropterus floridanus,"Micropterus floridanus  Lesueur, 1822",Florida bass,Non-native,Widespread,Not evaluated,1,Cichla floridana;Micropterus salmoides subsp. floridanus
Species,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,punctulatus,Micropterus punctulatus,"Micropterus punctulatus (Rafinesque, 1819)",Spotted bass,Non-native,Widespread,Least concern,1,Calliurus punctulatus
Species,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,salmoides,Micropterus salmoides,"Micropterus salmoides (Lacepède, 1802)",Largemouth bass,Non-native,Widespread,Least concern,1,Aplites salmoides;Grystes megastoma;Grystes nigricans;Grystes nuecensis;Grystes salmoides;Huro nigricans;Huro salmoides;Labrus salmoides;Perca nigricans
Species,Animalia,Chordata,Actinopterygii,Cyprinodontiformes ,Aplocheilidae,Nothobranchius,orthonotus,Nothobranchius orthonotus,"Nothobranchius orthonotus (Peters, 1844)",Spotted killifish,Native,Widespread,Least concern,2,Adinias troemneri;Adiniops troemneri;Cyprinodon orthonotus;Fundulus mkuziensis;Fundulus orthonotus;Hydrargyra maculata;Nothobranchius maculatus;Nothobranchius mayeri;Nothobranchius mkuziensis;Nothobranchius troemneri;Notobranchius mayeri;Notobranchius orthonotus
Species,Animalia,Chordata,Actinopterygii,Cyprinodontiformes ,Aplocheilidae,Nothobranchius,pienaari ,Nothobranchius pienaari ,"Nothobranchius pienaari Schidlovskiy, Watters & Wildekamp, 2010",,Native,Widespread,Least concern,2,
Species,Animalia,Chordata,Actinopterygii,Cyprinodontiformes ,Aplocheilidae,Nothobranchius,rachovii,Nothobranchius rachovii,"Nothobranchius rachovii Ahl, 1926",Rainbow killifish,Native,Widespread,Least concern,2,Adiniops rachovi;Nothobranchius rachowi;Notobranchius rachovii
Species,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)",Rainbow trout,Non-native,Widespread,Not evaluated,1,Oncorhynchus myskis;Oncorhynchus penshinensis;Parasalmo mykiss;Parasalmo penshinensis;Salmo gairdneri gairdneri;Salmo gairdneri kamloops;Salmo gairdneri shasta;Salmo gairdnerii;Salmo gairdnerii irideus;Salmo gibbsii;Salmo gilberti;Salmo iridea;Salmo irideus argentatus;Salmo irideux;Salmo kamloops;Salmo kamloops whitehousei;Salmo masoni;Salmo mykiss;Salmo nelsoni;Salmo penshinensis;Salmo purpuratus;Salmo rivularis;Salmo rivularis kamloops;Salmo truncatus;Trutta iridea
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Opsaridium,peringueyi,Opsaridium peringueyi,"Opsaridium peringueyi (Gilchrist & Thompson, 1913)",Southern barred minnow,Native,Widespread,Extinct,1,Barilius peringueyi 
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Opsaridium,zambezense,Opsaridium zambezense,"Opsaridium zambezense (Peters, 1852)",Barred minnow,Non-native,Widespread,Least concern,1,Barilius neavii;Barilius stephensoni;Barilius stevensoni;Barilius zambesensis;Barilius zambezensis;Leuciscus zambezensis;Opsaridium zambezensis
Species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,andersonii,Oreochromis andersonii,"Oreochromis andersonii (Castelnau, 1861)",Threespot tilapia,Non-native,Widespread,Vulnerable,2,Chromys andersonii;Oreochromis anderson;Oreochromis anulerson;Sarotherodon andersonii;Tilapia andersonii;Tilapia kafuensis 
Species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,aureus,Oreochromis aureus,"Oreochromis aureus (Steindachner, 1864)",Blue Tilapia,Non-native,Widespread,Least concern,2,Chromis aureus;Oreochromis auraeus;Sarotherodon aureum;Tilapia aurea;Tilapia aurea exul;Tilapia kacherbi;Tilapia kashabi;Tilapia lemassoni;Tilapia monodi;Tilapia nilotica exul 
Species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,mortimeri,Oreochromis mortimeri,"Oreochromis mortimeri (Trewavas, 1966)",Kariba tilapia,Non-native,Widespread,Critically Endangered,2,Sarotherodon mortimeri;Sarotherodon mossambicus mortimeri;Tilapia mortimeri;Tilapia mossambica mortimeri
Species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,mossambicus,Oreochromis mossambicus,"Oreochromis mossambicus (Peters, 1852)",Mozambique tilapia,Native,Widespread,Vulnerable,2,Chromis dumerilii;Chromis mossambicus;Chromis natalensis;Chromis niloticus mossambicus;Chromis vorax;Cromis mossambicus;Orechromis mossambica;Oreochromis mozambica;Sarotherodon mossambicus;Sarotherodon mossambicus natalensis;Sarothredon mossambica;Telapia mossambica;Tilapia arnoldi;Tilapia dumerilii;Tilapia mosambica;Tilapia mossambica mossambica;Tilapia mozambique;Tilapia natalensis;Tilapia vorax 
Species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,niloticus,Oreochromis niloticus,"Oreochromis niloticus (Linnaeus, 1758)",Nile tilapia,Non-native,Widespread,Oreochromis niloticus,2,Oreochromis vulcani;Perca nilotica;Sarotherodon niloticus;Tilapia calciati;Tilapia cancellata;Tilapia crassispina;Tilapia eduardiana;Tilapia esduardiana;Tilapia inducta;Tilapia nilotica;Tilapia nilotica cancellata;Tilapia nilotica eduardiana;Tilapia nilotica nilotica;Tilapia nilotica regani;Tilapia nilotious;Tilapia regani;Tilapia vulcani;Chromis guentheri;Chromis nilotica;Oreochromis cancellatus cancellatus;Oreochromis cancellatus filoa;Oreochromis nilotica filoa;Oreochromis nilotics
Species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,placidus,Oreochromis placidus,"Oreochromis placidus (Trewavas, 1941)",Black tilapia,Native,Widespread,Least concern,2,Sarotherodon placidus;Sarotherodon ruvumae;Tilapia placida;Tilapia ruvumae
Species,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Perca,fluviatilis,Perca fluviatilis,"Perca fluviatilis Linnaeus, 1758",European perch ,Non-native,Widespread,Least concern,1,Perca fluviatilis gracilisPerca fluviatilis intermediusPerca fluviatilis macedonicaPerca fluviatilis maculataPerca fluviatilis nigrescensPerca fluviatilis phragmitetiPerca fluviatilis zaissanicaPerca fluviatilusPerca helvetica Perca italicaPerca vulgarisPerca vulgarisPerca vulgarisPerca vulgaris aurata
Species,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Petrocephalus,catostoma,Petrocephalus catostoma,"Petrocephalus catostoma (Günther, 1866)",Churchill,Non-native,Widespread,Least concern,1,Mormyrus catostoma;Petrocephalus catastoma
Species,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Petrocephalus,wesselsi,Petrocephalus wesselsi,"Petrocephalus wesselsi (Kramer & van der Bank, 2000)",Southern churchill,Native,Widespread,Least concern,1,
Species,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,reticulata,Poecilia reticulata,"Poecilia reticulata  Peters, 1859",Guppy ,Non-native,Widespread,Not evaluated,2,Acanthophacelus guppii;Acanthophacelus reticulatus;Girardinus guppii;Girardinus reticulatus;Haridichthys reticulatus;Heterandria guppyi;Lebistes poecilioides;Lebistes poeciloides;Lebistes reticulatus;Pocilia reticulata;Poecilia reticulate;Poeciliodes reticulatus;Poecilioides reticulatus
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,afer,Pseudobarbus afer,"Pseudobarbus afer (Peters, 1864)",Eastern Cape redfin,Native,Micro-endemic level 1,Endangered,1,Barbus afer
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,asper,Pseudobarbus asper,"Pseudobarbus asper (Boulenger, 1911)",Smallscale redfin,Native,Regional endemic level 2,Vulnerable,1,Barbus asper
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,burchelli,Pseudobarbus burchelli,"Pseudobarbus burchelli (Smith, 1841)",Breede River redfin,Native,Micro-endemic level 1,Critically endangered,1,Barbus burchelli;Barbus gobionides;Barbus multimaculatus;Barbus vulneratus;Gnatendalia vulnerata
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,burgi,Pseudobarbus burgi,"Pseudobarbus burgi (Boulenger, 1911)",Berg River redfin,Native,Regional endemic level 2,Endangered,1,Barbus bergi;Barbus burgi
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,calidus,Pseudobarbus calidus,"Pseudobarbus calidus (Barnard, 1938)",Clanwilliam redfin,Native,Regional endemic level 2,Near threatened,1,Barbus calidus
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,capensis,Pseudobarbus capensis,"Pseudobarbus capensis (Smith, 1841)",Berg-breede river whitefish,Native,Regional endemic level 1,Endangered,1,Barbus andrewi;Barbus capensis;Pseudobarbus andrewi
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,erubescens,Pseudobarbus erubescens,"Pseudobarbus erubescens (Skelton, 1974)",Twee river redfin,Native,Micro-endemic level 1,Critically endangered,1,Barbus erubescens
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,phlegethon,Pseudobarbus phlegethon,"Pseudobarbus phlegethon (Barnard, 1938)",Fiery redfin,Native,Micro-endemic level 1,Endangered,1,Barbus phlegethon;Barbus phlegetun
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,quathlambae,Pseudobarbus quathlambae,"Pseudobarbus quathlambae (Barnard, 1938)",Maloti minnow,Native,Micro-endemic level 1,Endangered,1,Labeo quathlambae;Oreodaimon quathlambae
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,serra,Pseudobarbus serra,"Pseudobarbus serra (Peters, 1864)",Sawfin,Native,Micro-endemic level 1,Near threatened,1,Barbus serra
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,skeltoni,Pseudobarbus skeltoni,Pseudobarbus skeltoni Chakona and Swartz 2013,Giant redfin,Native,Micro-endemic level 1,Endangered,1,
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,swartzi,Pseudobarbus swartzi,"Pseudobarbus swartzi Chakona & Skelton, 2017",Gamtoos redfin,Native,Micro-endemic level 2,Vulnerable,1,
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,tenuis,Pseudobarbus tenuis,"Pseudobarbus tenuis (Barnard, 1938)",Slender redfin,Native,Regional endemic level 1,Near threatened,1,Barbus tenuis
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,trevelyani,Pseudobarbus trevelyani,"Pseudobarbus trevelyani Günther, 1877",Border barb,Native,Regional endemic level 1,Endangered,1,Barbus brookingi;Barbus trevelyani
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,verloreni,Pseudobarbus verloreni,"Pseudobarbus verloreni Chakona, Swartz & Skelton, 2014",,Native,Micro-endemic level 2,Endangered,1,
Species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Pseudocrenilabrus,philander,Pseudocrenilabrus philander,"Pseudocrenilabrus philander (Weber, 1897)",Southern mouthbrooder,Native,Widespread,Least concern,2,Chromis philander;Haplochromis philander;Haplochromis philander dispersus;Haplochromis philander luebberti;Haplochromis philander philander;Hemihaplochromis philander;Hemihaplochromis philander dispersus;Paratilapia luebberti;Pseudocrenilabrus natalensis;Tilapia ellenbergeri;Tilapia ovalis;Tilapia philander
Species,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,trutta,Salmo trutta,"Salmo trutta Linnaeus, 1758",Brown trout,Non-native,Widespread,Least concern,1,Salmo truttula;Salmo venernensis;Trutta fario;Trutta fluviatilis;Trutta lacustris;Trutta marina;Trutta marina;Trutta salmanata;Trutta salmonata;Trutta trutta;Trutta variabilis;Fario argenteus;Fario lacustris;Fario trutta;Salar ausonii;Salar ausonii parcepunctata;Salar ausonii semipunctata;Salar ausonii parcepunctata;Salar ausonii semipunctata;Salar bailloni;Salar gaimardi;Salar spectabilis;Salmo albus;Salmo albus;Salmo brachypoma;Salmo caecifer;Salmo cambricus;Salmo cornubiensis;Salmo cumberland;Salmo eriox;Salmo estuarius;Salmo fario;Salmo fario loensis;Salmo fario major;Salmo fario forestensis;Salmo faris;Salmo faris forestensis;Salmo faris forestensis;Salmo gadoides;Salmo gallivensis;Salmo illanca;Salmo islayensis;Salmo lacustris;Salmo lacustris rhenana;Salmo lacustris romanovi;Salmo lacustris septentrionalis;Salmo lemanus;Salmo levenensis;Salmo mistops;Salmo montana;Salmo orcadensis;Salmo orientalis;Salmo oxianus;Salmo phinoc;Salmo polyosteus;Salmo rappii;Salmo saxatilis;Salmo spurius;Salmo stroemii;Salmo sylvaticus;Salmo taurinus
Species,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,fontinalis,Salvelinus fontinalis,"Salvelinus fontinalis (Mitchill, 1815)",Brook trout ,Non-native,Widespread,Not evaluated,1,Baione fontinalis;Salmo canadensis;Salmo fontinalis;Salmo hudsonicus;Salvelinus timagamiensis
Species,Animalia,Chordata,Actinopterygii,Perciformes,Anabantidae,Sandelia,bainsii,Sandelia bainsii,"Sandelia bainsii Castelnau, 1861",Eastern Cape rocky,Native,Widespread,Endangered,1,Anabas bainsii;Ctenopoma microlepidotum;Spirobranchus bainsii 
Species,Animalia,Chordata,Actinopterygii,Perciformes,Anabantidae,Sandelia,capensis,Sandelia capensis,"Sandelia capensis (Cuvier, 1829)",Cape kurper,Native,Regional endemic level 1,Data deficient ,1,Anabas capensis;Anabas vicinus;Sandelia vicina;Sardelia capensis;Spirobranchus capensis
Species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Sargochromis,mortimeri,Sargochromis mortimeri,"Sargochromis mortimeri (Bell-Cross, 1975)",Mortimer's bream / Kafue bream,Non-native,Widespread,Least concern,2,Haplochromis mortimeri;Serranochromis mortimeri
Species,Animalia,Chordata,Actinopterygii,Siluriformes,Schilbeidae,Schilbe,intermedius,Schilbe intermedius,"Schilbe intermedius Rüppell, 1832",Butter catfish,Native,Widespread,Least concern,1,Eutropius lemairii;Schilbe dispila;Schilbe palmeri;Schilbe senegalensis;Schilbe senegalensis fasciata;Schilbe senegallus
Species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Serranochromis,macrocephalus,Serranochromis macrocephalus,"Serranochromis macrocephalus (Boulenger, 1899)",Purpleface largemouth,Non-native,Widespread,Least concern,2,Paratilapia ellenbergeri;Paratilapia macrocephala;Pelmatochromis genisquamulatus
Species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Serranochromis,meridianus,Serranochromis meridianus,"Serranochromis meridianus Jubb, 1967",Lowveld largemouth,Native,Widespread,Endangered,2,Serranochromis meridionalis
Species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Serranochromis,thumbergi,Serranochromis thumbergi,"Serranochromis thumbergi (Castelnau, 1861)",Brownspot largemouth,Non-native,Widespread,Least concern,2,Chromys thumbergi;Paratilapia thumbergii;Pelmatochromis thumbergi
Species,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Synodontis,macrostigma,Synodontis macrostigma,"Synodontis macrostigma Boulenger, 1911",Large-spot squeaker,Non-native,Widespread,Least concern,1,
Species,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Synodontis,nigromaculatus,Synodontis nigromaculatus,"Synodontis nigromaculatus Boulenger, 1905",Spotted squeaker,Non-native,Widespread,Least concern,1,Synodontis colyeri
Species,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Synodontis,zambezensis,Synodontis zambezensis,"Synodontis zambezensis Peters, 1852",Brown squeaker,Native,Widespread,Least concern,1,Hemisynodontis zambezensis;Synodontis zambesiensis
Species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Tilapia,guinasana,Tilapia guinasana,"Tilapia guinasana Trewavas, 1936",Otjikoto tilapia,Non-native,Widespread,Critically Endangered,2,
Species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Tilapia,sparrmanii,Tilapia sparrmanii,"Tilapia sparrmanii Smith, 1840",Banded tilapia,Native,Widespread,Least concern,2,Chromis sparrmanni;Chromys moffatii;Chromys sparmanni;Tilapia deschauenseei;Tilapia fouloni;Tilapia ovalis 
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Tinca,tinca,Tinca tinca,"Tinca tinca (Linnaeus, 1758)",Tench,Non-native,Widespread,Least concern,1,Cyprinus tinca;Cyprinus tinca auratus;Cyprinus tincauratus;Cyprinus tincaurea;Cyprinus zeelt;Tinca aurea;Tinca chrysitis;Tinca communis;Tinca italica;Tinca limosa;Tinca linnei;Tinca vulgaris;Tinca vulgaris cestellae;Tinca vulgaris maculata
Species,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Xiphophorus ,maculatus,Xiphophorus  maculatus,"Xiphophorus maculatus (Gunther, 1866)",Southern platyfish ,Non-native,Widespread,Data deficient,1,Platypoecilus aurata;Platypoecilus cyanellus;Platypoecilus maculatus;Platypoecilus maculatus aurata;Platypoecilus maculatus cyanellus;Platypoecilus maculatus sanguinea;Platypoecilus nigra;Platypoecilus pulchra;Platypoecilus rubra;Platypoecilus sanguinea;Poecilia maculata;Xiphorus maculatus
Species,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Xiphophorus,helleri,Xiphophorus helleri,"Xiphophorus helleri Heckel, 1848",Swordtail ,Non-native,Widespread,Least concern,1,Mollienisia helleri;Poecilia helleri;Xiphophorus brevis;Xiphophorus guentheri;Xiphophorus guntheri;Xiphophorus jalapae;Xiphophorus rachovii;Xiphophorus strigatus;Xiphorus helleri 
Species,Animalia,Chordata,Actinopterygii,Siluriformes,Amphiliidae,Zaireichthys ,rotundiceps,Zaireichthys  rotundiceps,"Zaireichthys rotundiceps (Hilgendorf, 1905)",Sand catlet,Native,Widespread,Data deficient,1,Gephyroglanis rotundiceps;Leptoglanis rotondiceps;Leptoglanis rotundiceps
